ID;Klasse;LÃ¸ste oppgaver;Mulige oppgaver;spm1;spm2;spm3;spm4;spm5;spm6
22;1;1;3;2;2;2;1;4;1
23;1;2;3;4;1;4;3;2;1
24;1;2;3;5;4;4;1;4;1
25;1;2;3;5;1;5;4;2;2
26;1;2;3;4;2;5;3;2;3
27;1;1;3;5;1;4;4;4;4
28;1;1;3;4;4;4;3;2;3
29;1;1;3;5;2;3;3;1;4
30;1;2;3;5;1;5;3;4;2
31;1;1;3;5;1;4;1;2;1
32;1;2;3;4;1;4;3;3;2
33;1;2;3;5;1;4;4;2;4
34;1;2;3;5;1;4;3;3;3
35;1;2;3;5;4;5;4;4;4
36;1;2;3;4;4;5;4;3;4
37;1;2;3;5;2;4;4;2;4
38;1;2;3;4;4;3;4;3;4
39;1;2;3;5;1;4;2;3;2
40;1;3;3;5;5;4;4;1;3
41;1;2;3;4;4;4;4;4;4
42;1;2;3;5;2;1;2;2;2
43;1;2;3;5;1;5;2;4;2
44;1;2;3;4;4;5;1;5;4
45;1;1;3;4;4;2;3;3;3
1;2;2;3;5;1;5;4;2;4
2;2;1;3;2;2;2;3;2;1
3;2;2;3;4;2;4;5;1;3
4;2;2;3;5;2;4;2;2;2
5;2;2;3;4;3;5;2;1;2
6;2;3;3;5;1;5;4;4;4
7;2;2;3;4;1;3;4;1;4
8;2;2;3;5;1;5;4;2;4
9;2;2;3;5;3;5;5;1;5
10;2;2;3;5;3;5;5;1;5
11;2;3;3;5;1;5;4;2;4
12;2;2;3;5;4;5;3;2;3
13;2;3;3;5;1;5;4;4;3
14;2;2;3;5;4;3;4;4;5
15;2;2;3;3;4;3;4;1;5
16;2;2;3;3;4;3;4;1;5
17;2;2;3;3;4;3;4;1;5
18;2;2;3;5;1;4;4;3;3
19;2;3;3;5;1;5;4;3;3
20;2;2;3;5;1;4;2;2;2
21;2;2;3;5;4;5;3;2;3